Date,Close
2018/1/2,2695.810059
2018/1/3,2713.060059
2018/1/4,2723.98999
2018/1/5,2743.149902
2018/1/8,2747.709961
2018/1/9,2751.290039
2018/1/10,2748.22998
2018/1/11,2767.560059
2018/1/12,2786.23999
2018/1/16,2776.419922
2018/1/17,2802.560059
2018/1/18,2798.030029
2018/1/19,2810.300049
2018/1/22,2832.969971
2018/1/23,2839.129883
2018/1/24,2837.540039
2018/1/25,2839.25
2018/1/26,2872.870117
2018/1/29,2853.530029
2018/1/30,2822.429932
2018/1/31,2823.810059
2018/2/1,2821.97998
2018/2/2,2762.129883
2018/2/5,2648.939941
2018/2/6,2695.139893
2018/2/7,2681.659912
2018/2/8,2581
2018/2/9,2619.550049
2018/2/12,2656
2018/2/13,2662.939941
2018/2/14,2698.629883
2018/2/15,2731.199951
2018/2/16,2732.219971
2018/2/20,2716.26001
2018/2/21,2701.330078
2018/2/22,2703.959961
2018/2/23,2747.300049
2018/2/26,2779.600098
2018/2/27,2744.280029
2018/2/28,2713.830078
2018/3/1,2677.669922
2018/3/2,2691.25
2018/3/5,2720.939941
2018/3/6,2728.120117
2018/3/7,2726.800049
2018/3/8,2738.969971
2018/3/9,2786.570068
2018/3/12,2783.02002
2018/3/13,2765.310059
2018/3/14,2749.47998
2018/3/15,2747.330078
2018/3/16,2752.01001
2018/3/19,2712.919922
2018/3/20,2716.939941
2018/3/21,2711.929932
2018/3/22,2643.689941
2018/3/23,2588.26001
2018/3/26,2658.550049
2018/3/27,2612.620117
2018/3/28,2605
2018/3/29,2640.870117
2018/4/2,2581.879883
2018/4/3,2614.449951
2018/4/4,2644.689941
2018/4/5,2662.840088
2018/4/6,2604.469971
2018/4/9,2613.159912
2018/4/10,2656.870117
2018/4/11,2642.189941
2018/4/12,2663.98999
2018/4/13,2656.300049
2018/4/16,2677.840088
2018/4/17,2706.389893
2018/4/18,2708.639893
2018/4/19,2693.129883
2018/4/20,2670.139893
2018/4/23,2670.290039
2018/4/24,2634.560059
