Date,Close
2018/1/2,4087.40
2018/1/3,4111.39
2018/1/4,4128.81
2018/1/5,4138.75
2018/1/8,4160.16
2018/1/9,4189.30
2018/1/10,4207.81
2018/1/11,4205.59
2018/1/12,4225.00
2018/1/15,4225.24
2018/1/16,4258.47
2018/1/17,4248.12
2018/1/18,4271.42
2018/1/19,4285.40
2018/1/22,4336.60
2018/1/23,4382.61
2018/1/24,4389.89
2018/1/25,4365.08
2018/1/26,4381.30
2018/1/29,4302.02
2018/1/30,4256.10
2018/1/31,4275.90
2018/2/1,4245.90
2018/2/2,4271.23
2018/2/5,4274.15
2018/2/6,4148.89
2018/2/7,4050.50
2018/2/8,4012.05
2018/2/9,3840.65
2018/2/12,3890.10
2018/2/13,3935.63
2018/2/14,3966.96
2018/2/22,4052.73
2018/2/23,4071.09
2018/2/26,4118.42
2018/2/27,4058.98
2018/2/28,4023.64
2018/3/1,4049.09
2018/3/2,4016.46
2018/3/5,4018.10
2018/3/6,4066.56
2018/3/7,4036.65
2018/3/8,4077.60
2018/3/9,4108.87
2018/3/12,4127.67
2018/3/13,4091.25
2018/3/14,4073.34
2018/3/15,4096.16
2018/3/16,4056.42
2018/3/19,4074.25
2018/3/20,4077.70
2018/3/21,4061.05
2018/3/22,4020.35
2018/3/23,3904.94
2018/3/26,3879.89
2018/3/27,3913.27
2018/3/28,3842.72
2018/3/29,3894.05
2018/3/30,3898.50
2018/4/2,3886.92
2018/4/3,3862.48
2018/4/4,3854.86
2018/4/9,3852.93
2018/4/10,3927.17
2018/4/11,3938.34
2018/4/12,3898.64
2018/4/13,3871.14
2018/4/16,3808.86
2018/4/17,3748.64
2018/4/18,3766.28
2018/4/19,3811.84
2018/4/20,3760.85
2018/4/23,3766.33
2018/4/24,3843.49
2018/4/25,3828.70
2018/4/26,3755.49
2018/4/27,3756.88
2018/5/2,3763.65
2018/5/3,3793.00
2018/5/4,3774.60
2018/5/7,3834.19
2018/5/8,3878.68
2018/5/9,3871.62
2018/5/10,3893.06
2018/5/11,3872.84
2018/5/14,3909.29
2018/5/15,3924.10
2018/5/16,3892.84
2018/5/17,3864.05
2018/5/18,3903.06
2018/5/21,3921.24
2018/5/22,3906.21
2018/5/23,3854.58
2018/5/24,3827.22
2018/5/25,3816.50
2018/5/28,3833.26
2018/5/29,3804.01
2018/5/30,3723.37
2018/5/31,3802.38
2018/6/1,3770.59
2018/6/4,3807.58
2018/6/5,3845.32
2018/6/6,3837.35
2018/6/7,3831.01
2018/6/8,3779.62
2018/6/11,3779.98
2018/6/12,3825.95
2018/6/13,3788.34
2018/6/14,3773.37
2018/6/15,3753.43
2018/6/19,3621.12
2018/6/20,3635.44
2018/6/21,3592.97
2018/6/22,3608.90
2018/6/25,3560.48
2018/6/26,3531.11
2018/6/27,3459.26
